,lncrna,gene,correlation,p_value,regulation_type,strength
28905,lncRNA_35891,FUN_031196,-0.3641921446903159,0.020872170123062386,repression,0.3641921446903159
28906,lncRNA_7567,FUN_031196,-0.36444826475016406,0.02077574199715584,repression,0.36444826475016406
28907,lncRNA_163,FUN_031196,0.32310041845946036,0.04199465450983431,activation,0.32310041845946036
28908,lncRNA_36338,FUN_031196,-0.40583348072780895,0.009371368731352045,repression,0.40583348072780895
28909,lncRNA_3233,FUN_031196,0.4153855146578281,0.007688419744024125,activation,0.4153855146578281
28910,lncRNA_25770,FUN_031196,0.4110804082968198,0.008411650131014962,activation,0.4110804082968198
28911,lncRNA_22207,FUN_031196,-0.4252623786854251,0.006228296170774983,repression,0.4252623786854251
28912,lncRNA_1010,FUN_031196,-0.4508840120429027,0.0035017991258227852,repression,0.4508840120429027
28913,lncRNA_37667,FUN_031196,0.3304203776539815,0.03730736099425548,activation,0.3304203776539815
28914,lncRNA_14906,FUN_031196,-0.3728737966437916,0.017805048002979967,repression,0.3728737966437916
28915,lncRNA_30218,FUN_031196,0.3605338524322004,0.022290865772716006,activation,0.3605338524322004
28916,lncRNA_13312,FUN_031196,0.464632184688149,0.002523930842411903,activation,0.464632184688149
28917,lncRNA_18483,FUN_031196,-0.4014678851172595,0.010239884341695663,repression,0.4014678851172595
28918,lncRNA_36677,FUN_031196,0.32559563242586714,0.04034592434581243,activation,0.32559563242586714
28919,lncRNA_18356,FUN_031196,0.43753972189470214,0.004752219362631793,activation,0.43753972189470214
28920,lncRNA_333,FUN_031196,0.42400376583051425,0.006399904283337064,activation,0.42400376583051425
28921,lncRNA_43262,FUN_031196,-0.41929610085965197,0.007078473758307218,repression,0.41929610085965197
28922,lncRNA_47626,FUN_031196,0.5330858253499008,0.0003976859778757395,activation,0.5330858253499008
28923,lncRNA_267,FUN_031196,0.47015081579003815,0.0022046331106483972,activation,0.47015081579003815
28924,lncRNA_2818,FUN_031196,0.423475501231235,0.006473138795410566,activation,0.423475501231235
28925,lncRNA_35121,FUN_031196,-0.3715574674277044,0.018244121113562134,repression,0.3715574674277044
28926,lncRNA_8402,FUN_031196,0.32591051342167277,0.040141660837619796,activation,0.32591051342167277
28927,lncRNA_23692,FUN_031196,0.32446517556654964,0.04108623289426306,activation,0.32446517556654964
28928,lncRNA_15085,FUN_031196,0.5008935371341289,0.0009947805763628583,activation,0.5008935371341289
28929,lncRNA_44677,FUN_031196,0.5101230500446821,0.0007718818574678314,activation,0.5101230500446821
28930,lncRNA_30913,FUN_031196,-0.36672300092975857,0.01993555178979532,repression,0.36672300092975857
28931,lncRNA_25921,FUN_031196,0.3516700574540496,0.02606481015656123,activation,0.3516700574540496
28932,lncRNA_49528,FUN_031196,-0.34549842749387594,0.02899390591055196,repression,0.34549842749387594
28933,lncRNA_20229,FUN_031196,0.5828246885389511,7.940286425826337e-05,activation,0.5828246885389511
28934,lncRNA_18070,FUN_031196,-0.32469093916166447,0.04093750993875229,repression,0.32469093916166447
28935,lncRNA_25361,FUN_031196,0.4729850087005037,0.0020549013529209603,activation,0.4729850087005037
